name,FIRSTNAME,LASTNAME,info,experience,sector,feedback,jurisdiction,charges,daysofdisposal,language,practices,cityofpractice,probonoserviceprovided,clientdemographics,gender
Anay Ahluwalia,Anay,Ahluwalia,"An ay Ahluwalia has 20 years of experience in Corporate Law, Consumer Protection Law, and Labor Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 420.6850078605348 USD per hour. He takes 117.69593880898871 Avg Days for Disposal. He speaks: Telugu, Hindi and Hindi. He practices at Saini PLC, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",20,"Corporate Law, Consumer Protection Law, and Labor Law",5,Supreme Court,420.6850079,117.6959388,"Telugu, Hindi and Hindi",Saini PLC,Hyderabad,yes,Large Corporations,male
Arnav Dubey,Arnav,Dubey,"Arnav Dubey has 29 years of experience in Intellectual Property Law, Criminal Law, and Tax Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 435.66306274876007 USD per hour. He takes 119.00039621571536 Avg Days for Disposal. He speaks: Urdu, Kannada and Tamil. He practices at Sarna-Contractor, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",29,"Intellectual Property Law, Criminal Law, and Tax Law",2,Specialized Court,435.6630627,119.0003962,"Urdu, Kannada and Tamil",Sarna-Contractor,Delhi,no,Small Businesses,male
Lavanya Lalla,Lavanya,Lalla,"Lavanya Lalla has 15 years of experience in Human Rights Law, Civil Law, and Family Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 236.79822958471968 USD per hour. He takes 93.85126197992682 Avg Days for Disposal. He speaks: Gujarati, Kannada and Tamil. He practices at Gade-Cheema, and is based in Delhi. He provides pro bono services to the community. His Client Demographics is Large Corporations.",15,"Human Rights Law, Civil Law, and Family Law",5,Specialized Court,236.7982296,93.85126198,"Gujarati, Kannada and Tamil",Gade-Cheema,Delhi,yes,Large Corporations,male
Armaan Khosla,Armaan,Khosla,"Armaan Khosla has 11 years of experience in Constitutional Law, Media and Entertainment Law, and Real Estate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 90.20295603134008 USD per hour. He takes 89.82727367885032 Avg Days for Disposal. He speaks: Punjabi, Telugu and Tamil. He practices at Brahmbhatt-Konda, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",11,"Constitutional Law, Media and Entertainment Law, and Real Estate Law",2,Specialized Court,90.20295603,89.82727368,"Punjabi, Telugu and Tamil",Brahmbhatt-Konda,Kolkata,yes,Large Corporations,male
Advik Chaudry,Advik,Chaudry,"Advik Chaudry has 8 years of experience in Human Rights Law, Constitutional Law, and Human Rights Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 247.00166478482896 USD per hour. He takes 105.45989712362339 Avg Days for Disposal. He speaks: Malayalam, Odia and Urdu. He practices at Barad PLC, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Individuals.",8,"Human Rights Law, Constitutional Law, and Human Rights Law",2,Supreme Court,247.0016648,105.4598971,"Malayalam, Odia and Urdu",Barad PLC,Bangalore,yes,Individuals,male
Urvi Bedi,Urvi,Bedi,"Urvi Bedi has 29 years of experience in Medical Law, Immigration Law, and Constitutional Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 153.83056559317419 USD per hour. He takes 106.42197753340989 Avg Days for Disposal. He speaks: Hindi, Malayalam and Malayalam. He practices at Bhatia, Kumer and Bahl, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Small Businesses.",29,"Medical Law, Immigration Law, and Constitutional Law",2,Supreme Court,153.8305656,106.4219775,"Hindi, Malayalam and Malayalam","Bhatia, Kumer and Bahl",Bangalore,yes,Small Businesses,male
Rania Bansal,Rania,Bansal,"Rania Bansal has 21 years of experience in Labor Law, Media and Entertainment Law, and Civil Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 181.03840474848087 USD per hour. He takes 77.91012403410878 Avg Days for Disposal. He speaks: Hindi, Malayalam and Bengali. He practices at Devi, Kade and Gopal, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",21,"Labor Law, Media and Entertainment Law, and Civil Law",4,Specialized Court,181.0384047,77.91012403,"Hindi, Malayalam and Bengali","Devi, Kade and Gopal",Hyderabad,no,Individuals,male
Urvi Gera,Urvi,Gera,"Urvi Gera has 7 years of experience in Labor Law, Consumer Protection Law, and Criminal Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 397.5204005768776 USD per hour. He takes 82.10167300294947 Avg Days for Disposal. He speaks: Gujarati, Kannada and Hindi. He practices at Hari LLC, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Small Businesses.",7,"Labor Law, Consumer Protection Law, and Criminal Law",4,Specialized Court,397.5204006,82.101673,"Gujarati, Kannada and Hindi",Hari LLC,Kolkata,yes,Small Businesses,male
Shamik Kamdar,Shamik,Kamdar,"Shamik Kamdar has 26 years of experience in Real Estate Law, Media and Entertainment Law, and Immigration Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 83.98718871164908 USD per hour. He takes 70.16478847975057 Avg Days for Disposal. He speaks: Malayalam, Telugu and Bengali. He practices at Virk LLC, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Individuals.",26,"Real Estate Law, Media and Entertainment Law, and Immigration Law",5,District Court,83.98718871,70.16478848,"Malayalam, Telugu and Bengali",Virk LLC,Hyderabad,yes,Individuals,male
Ayesha Bala,Ayesha,Bala,"Ayesha Bala has 19 years of experience in Banking and Finance Law, Environmental Law, and Civil Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Specialized Court. He charges 422.41154786631597 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Telugu, Punjabi and Punjabi. He practices at Wali, Mann and Choudhry, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Individuals.",19,"Banking and Finance Law, Environmental Law, and Civil Law",3.004576659,Specialized Court,422.4115479,89.33090202,"Telugu, Punjabi and Punjabi","Wali, Mann and Choudhry",Chennai,yes,Individuals,male
